model,task,pair,correct_to_incorrect,incorrect_to_correct,no_change,baseline_accuracy,comparison_accuracy,count
gemini-pro-chat,math-number,zero-shot-null-shot,6,6,528,16.11111111111111,16.11111111111111,540
gemini-pro-chat,math-number,zero-shot-cot-null-shot-cot,41,53,446,16.666666666666664,18.88888888888889,540
gemini-pro-chat,math-algebra,zero-shot-null-shot,43,69,1075,24.85256950294861,27.04296545914069,1187
gemini-pro-chat,math-algebra,zero-shot-cot-null-shot-cot,78,192,917,33.19292333614153,42.79696714406065,1187
gemini-pro-chat,anli,zero-shot-null-shot,77,87,1036,51.083333333333336,51.916666666666664,1200
gemini-pro-chat,anli,zero-shot-cot-null-shot-cot,98,51,1051,48.91666666666667,45.0,1200
gemini-pro-chat,triviaqa,zero-shot-null-shot,462,11,527,70.5,25.4,1000
gemini-pro-chat,triviaqa,zero-shot-cot-null-shot-cot,617,6,377,62.0,0.8999999999999999,1000
gemini-pro-chat,halueval-summarization,zero-shot-null-shot,69,61,9870,66.11,66.03,10000
gemini-pro-chat,race-m,zero-shot-null-shot,18,27,1391,84.6100278551532,85.23676880222841,1436
gemini-pro-chat,race-m,zero-shot-cot-null-shot-cot,56,28,1352,84.05292479108635,82.10306406685237,1436
gemini-pro-chat,strategyqa,zero-shot-null-shot,495,102,1693,67.59825327510917,50.43668122270743,2290
gemini-pro-chat,strategyqa,zero-shot-cot-null-shot-cot,1498,1,791,66.41921397379913,1.0480349344978166,2290
gemini-pro-chat,winogrande,zero-shot-null-shot,102,93,1072,63.69376479873717,62.98342541436463,1267
gemini-pro-chat,winogrande,zero-shot-cot-null-shot-cot,788,0,479,62.430939226519335,0.23677979479084454,1267
gemini-pro-chat,math-pre-algebra,zero-shot-null-shot,19,42,810,31.917336394948336,34.55797933409874,871
gemini-pro-chat,math-pre-algebra,zero-shot-cot-null-shot-cot,54,125,692,39.60964408725603,47.76119402985074,871
gemini-pro-chat,math-int-algebra,zero-shot-null-shot,23,18,862,14.839424141749724,14.285714285714285,903
gemini-pro-chat,math-int-algebra,zero-shot-cot-null-shot-cot,52,44,807,13.842746400885936,12.956810631229235,903
gemini-pro-chat,gsm8k,zero-shot-null-shot,116,309,894,52.388172858225936,67.02047005307051,1319
gemini-pro-chat,gsm8k,zero-shot-cot-null-shot-cot,188,79,1052,70.88703563305533,62.62319939347991,1319
gemini-pro-chat,aqua,zero-shot-null-shot,29,58,167,25.590551181102363,37.00787401574803,254
gemini-pro-chat,aqua,zero-shot-cot-null-shot-cot,43,53,158,48.818897637795274,52.75590551181102,254
gemini-pro-chat,halueval-qa,zero-shot-null-shot,89,178,9733,61.980000000000004,62.870000000000005,10000
gemini-pro-chat,race-h,zero-shot-null-shot,62,107,3329,79.10234419668382,80.38879359634078,3498
gemini-pro-chat,race-h,zero-shot-cot-null-shot-cot,116,96,3286,78.35906232132646,77.78730703259005,3498
gemini-pro-chat,halueval-general,zero-shot-null-shot,4,6,4497,81.73951630796539,81.78389172398491,4507
gemini-pro-chat,halueval-dialogue,zero-shot-null-shot,112,131,9757,76.66,76.85,10000
gemini-pro-chat,math-geometry,zero-shot-null-shot,10,15,454,18.789144050104383,19.832985386221296,479
gemini-pro-chat,math-geometry,zero-shot-cot-null-shot-cot,23,40,416,19.41544885177453,22.964509394572026,479
gemini-pro-chat,math-count-prob,zero-shot-null-shot,6,8,460,16.244725738396625,16.666666666666664,474
gemini-pro-chat,math-count-prob,zero-shot-cot-null-shot-cot,17,36,421,17.72151898734177,21.729957805907173,474
gemini-pro-chat,math-pre-calc,zero-shot-null-shot,24,16,506,19.5970695970696,18.13186813186813,546
gemini-pro-chat,math-pre-calc,zero-shot-cot-null-shot-cot,26,30,490,17.399267399267398,18.13186813186813,546
palm-2-chat,math-number,zero-shot-null-shot,5,25,510,2.2222222222222223,5.9259259259259265,540
palm-2-chat,math-number,zero-shot-cot-null-shot-cot,5,11,524,2.7777777777777777,3.888888888888889,540
palm-2-chat,math-algebra,zero-shot-null-shot,17,121,1049,3.5383319292333613,12.299915754001685,1187
palm-2-chat,math-algebra,zero-shot-cot-null-shot-cot,28,62,1097,4.212299915754001,7.0766638584667225,1187
palm-2-chat,anli,zero-shot-null-shot,15,23,1162,42.66666666666667,43.333333333333336,1200
palm-2-chat,anli,zero-shot-cot-null-shot-cot,33,20,1147,43.5,42.41666666666667,1200
palm-2-chat,triviaqa,zero-shot-null-shot,36,35,929,70.19999999999999,70.1,1000
palm-2-chat,triviaqa,zero-shot-cot-null-shot-cot,46,31,923,70.6,69.1,1000
palm-2-chat,halueval-summarization,zero-shot-null-shot,25,113,9862,0.62,1.5,10000
palm-2-chat,race-m,zero-shot-null-shot,58,69,1309,73.53760445682451,74.30362116991644,1436
palm-2-chat,race-m,zero-shot-cot-null-shot-cot,104,109,1223,71.58774373259052,71.93593314763231,1436
palm-2-chat,strategyqa,zero-shot-null-shot,104,126,2060,57.72925764192139,58.689956331877724,2290
palm-2-chat,strategyqa,zero-shot-cot-null-shot-cot,111,288,1891,52.40174672489083,60.13100436681222,2290
palm-2-chat,winogrande,zero-shot-null-shot,52,102,1113,56.590370955011835,60.53670086819258,1267
palm-2-chat,winogrande,zero-shot-cot-null-shot-cot,87,53,1127,59.826361483820044,57.14285714285714,1267
palm-2-chat,math-pre-algebra,zero-shot-null-shot,20,91,760,7.003444316877153,15.154994259471872,871
palm-2-chat,math-pre-algebra,zero-shot-cot-null-shot-cot,27,50,794,6.77382319173364,9.414466130884042,871
palm-2-chat,math-int-algebra,zero-shot-null-shot,20,49,834,4.097452934662237,7.308970099667775,903
palm-2-chat,math-int-algebra,zero-shot-cot-null-shot-cot,16,26,861,2.8792912513842746,3.9867109634551494,903
palm-2-chat,gsm8k,zero-shot-null-shot,80,96,1143,53.904473085670965,55.117513267627,1319
palm-2-chat,gsm8k,zero-shot-cot-null-shot-cot,162,104,1053,58.22592873388931,53.82865807429871,1319
palm-2-chat,aqua,zero-shot-null-shot,10,12,232,14.960629921259844,15.748031496062993,254
palm-2-chat,aqua,zero-shot-cot-null-shot-cot,21,19,214,13.385826771653544,12.598425196850393,254
palm-2-chat,halueval-qa,zero-shot-null-shot,202,935,8863,11.700000000000001,19.03,10000
palm-2-chat,race-h,zero-shot-null-shot,168,184,3146,67.03830760434533,67.49571183533448,3498
palm-2-chat,race-h,zero-shot-cot-null-shot-cot,270,288,2940,65.03716409376786,65.55174385363065,3498
palm-2-chat,halueval-general,zero-shot-null-shot,162,258,4087,8.320390503660972,10.45041047259818,4507
palm-2-chat,halueval-dialogue,zero-shot-null-shot,225,239,9536,8.780000000000001,8.92,10000
palm-2-chat,math-geometry,zero-shot-null-shot,10,23,446,5.6367432150313155,8.350730688935283,479
palm-2-chat,math-geometry,zero-shot-cot-null-shot-cot,10,19,450,5.427974947807933,7.306889352818372,479
palm-2-chat,math-count-prob,zero-shot-null-shot,5,31,438,4.852320675105485,10.337552742616033,474
