model,task,method,Correct,Incorrect,Empty
gemini-pro-chat,anli,zero-shot,613,559,28
gemini-pro-chat,anli,null-shot-cot,540,640,20
gemini-pro-chat,anli,zero-shot-cot,587,591,22
gemini-pro-chat,anli,null-shot,623,567,10
gemini-pro-chat,triviaqa,zero-shot,705,237,58
gemini-pro-chat,triviaqa,null-shot-cot,9,978,13
gemini-pro-chat,triviaqa,zero-shot-cot,620,341,39
gemini-pro-chat,triviaqa,null-shot,254,723,23
gemini-pro-chat,race-m,zero-shot,1215,143,78
gemini-pro-chat,race-m,null-shot-cot,1179,187,70
gemini-pro-chat,race-m,zero-shot-cot,1207,148,81
gemini-pro-chat,race-m,null-shot,1224,153,59
gemini-pro-chat,strategyqa,zero-shot,1548,646,96
gemini-pro-chat,strategyqa,null-shot-cot,24,2189,77
gemini-pro-chat,strategyqa,zero-shot-cot,1521,689,80
gemini-pro-chat,strategyqa,null-shot,1155,1079,56
gemini-pro-chat,winogrande,zero-shot,807,415,45
gemini-pro-chat,winogrande,null-shot-cot,3,1253,11
gemini-pro-chat,winogrande,zero-shot-cot,791,436,40
gemini-pro-chat,winogrande,null-shot,798,438,31
gemini-pro-chat,gsm8k,zero-shot,691,585,43
gemini-pro-chat,gsm8k,null-shot-cot,826,488,5
gemini-pro-chat,gsm8k,zero-shot-cot,935,377,7
gemini-pro-chat,gsm8k,null-shot,884,431,4
gemini-pro-chat,aqua,zero-shot,65,188,1
gemini-pro-chat,aqua,null-shot-cot,134,120,0
gemini-pro-chat,aqua,zero-shot-cot,124,130,0
gemini-pro-chat,aqua,null-shot,94,159,1
gemini-pro-chat,race-h,zero-shot,2767,508,223
gemini-pro-chat,race-h,null-shot-cot,2721,589,188
gemini-pro-chat,race-h,zero-shot-cot,2741,531,226
gemini-pro-chat,race-h,null-shot,2812,520,166
palm-2-chat,anli,zero-shot,512,684,4
palm-2-chat,anli,null-shot-cot,509,686,5
palm-2-chat,anli,zero-shot-cot,522,677,1
palm-2-chat,anli,null-shot,520,675,5
palm-2-chat,triviaqa,zero-shot,702,250,48
palm-2-chat,triviaqa,null-shot-cot,691,252,57
palm-2-chat,triviaqa,zero-shot-cot,706,251,43
palm-2-chat,triviaqa,null-shot,701,256,43
palm-2-chat,race-m,zero-shot,1056,334,46
palm-2-chat,race-m,null-shot-cot,1033,356,47
palm-2-chat,race-m,zero-shot-cot,1028,359,49
palm-2-chat,race-m,null-shot,1067,341,28
palm-2-chat,strategyqa,zero-shot,1322,904,64
palm-2-chat,strategyqa,null-shot-cot,1377,839,74
palm-2-chat,strategyqa,zero-shot-cot,1200,1032,58
palm-2-chat,strategyqa,null-shot,1344,879,67
palm-2-chat,winogrande,zero-shot,717,542,8
palm-2-chat,winogrande,null-shot-cot,724,535,8
palm-2-chat,winogrande,zero-shot-cot,758,500,9
palm-2-chat,winogrande,null-shot,767,494,6
palm-2-chat,gsm8k,zero-shot,711,605,3
palm-2-chat,gsm8k,null-shot-cot,710,606,3
